Tmax_b,Tmin_b,Rhmin,Rhmax,Tmax,Tmin,Heatwave
33.6,27.3,47.85939407,81.81957245,31.39745483,25.16591797,1
33.4,25.3,50.66974258,88.97997284,25.72149048,21.78725586,0
29.6,20.8,37.63796997,75.95081329,28.47319946,17.5520874,0
29.7,18.9,56.98717499,89.88237,24.66915283,18.73293457,0
24.1,19.2,42.02511597,77.10935974,26.306604,18.22252808,0
25.2,20.1,80.55535126,89.96645355,20.84356079,16.8986145,0
31.6,22.7,56.48901749,90.6262207,28.109552,23.27962647,0
30.9,22.8,85.76356506,94.69083405,26.46062622,23.82277832,0
27.3,23.5,84.3318634,98.78117371,25.64489136,23.13659058,0
32.1,23.4,42.68654633,87.36836243,32.150354,24.01543579,1
34,23,49.31407928,88.4471817,32.43581543,24.2446228,1
29,24,78.82457733,91.4076767,28.37612305,25.35335693,0
29.2,24.4,66.01809692,90.75611877,30.59349976,25.18087158,0
31.4,24.7,79.465065,92.33603668,27.99691162,24.19146118,0
25.8,23.4,64.05407715,92.74674225,29.29839478,23.06972656,0
31.2,22.7,68.58456421,90.83511353,28.71801148,24.72719727,0
32.3,25.8,48.54640579,80.30263519,30.82451782,23.85619507,0
32.3,22.5,54.9713707,84.00982666,32.06133423,25.53130493,1
26.8,22.8,81.93066406,93.93178558,27.42269287,24.25136719,0
29.5,22.7,69.28785706,90.57414246,30.19384155,25.2923523,0
30.1,25.5,62.8565979,91.21954346,30.57341919,23.45528565,0
31.8,23.8,58.98246765,88.16693878,31.64971314,25.07195435,1
33.8,25.1,51.73580551,71.64593506,33.82369385,26.52507935,1
34.3,25.4,61.13031769,83.35237885,32.09789429,26.95269165,1
33,27.5,64.58089447,89.6129837,31.45726929,27.19881592,1
33,28,76.70352936,89.38807678,30.30709229,26.88189087,0
29.2,26.4,65.14802551,88.05300903,31.13399658,26.60912476,0
28.2,25.6,47.62372589,90.03707886,33.8470398,25.71282349,1
34.9,25.3,49.22536469,82.82065582,31.78087769,24.12243042,0
32.4,24.8,51.23806381,78.9556427,30.86794434,23.91451416,0
28.9,24.6,76.1571579,87.75572968,27.08709106,24.77037964,0
27,24.2,59.20584488,90.83153534,30.38277588,24.99733887,0
29.8,25.5,66.4920578,86.5342865,30.56954346,24.12633667,1
32.5,24.5,55.10834122,82.92519379,31.57332764,25.29561768,0
27,24.2,49.96219254,88.1968689,32.66326294,23.99321899,1
33.4,23.6,52.38034058,85.91964722,34.15911255,26.51067505,1
32.2,26.4,44.61561584,80.72621918,34.01586304,24.95519409,1
34.5,25.7,42.18496704,83.00191498,36.4059082,27.16112671,1
35.8,27.4,59.65421295,84.71118164,34.08223877,28.52556763,1
33.6,25.9,52.39175415,85.89211273,33.23406372,26.37783203,1
34,25.8,66.07958221,87.53373718,29.37453613,25.77471314,0
31.8,24.7,50.50914764,84.07332611,32.41655884,25.14147339,0
31,23.7,68.94335175,80.54696655,28.69158325,26.23296509,0
26.1,23.8,55.21648026,84.34831238,32.15038452,25.21065674,0
31.4,23.7,48.22005844,82.32697296,31.41057739,24.0760437,0
26.5,22.9,80.20944214,92.82329559,23.74718628,21.45913086,0
24.8,21.8,73.377388,87.83577728,24.15554199,21.31643066,0
27.1,21,67.18216705,89.1853714,27.86834106,22.17272339,0
28.1,21.6,59.71816254,90.71277618,28.40807495,23.66442261,0
28.6,23.2,83.47743225,91.87970734,26.21602783,22.88991699,0
25.8,22.4,78.5413208,91.43491364,28.37709961,24.06981812,0
28.9,23.6,49.23054886,87.00330353,30.71825562,24.62542114,0
32.6,23.6,75.80332947,86.84192657,29.99654541,24.9973999,0
31.8,24.4,77.58745575,91.081604,29.35445557,24.52016602,0
29.6,25.1,32.92700195,89.99990845,30.70467529,22.99297485,0
29.1,19.7,39.23698807,79.66123199,26.46938477,19.33547363,0
26,18.7,58.84737778,91.42488861,26.11300049,21.10234985,0
27.5,18.7,29.68152809,92.57675934,23.62355957,17.59420166,0
23.3,18.7,46.21206665,76.05265808,22.47228394,16.6517273,0
23.3,18.2,29.72400093,84.32349396,26.77892456,17.57927856,0
