T_ann,T_sM,T_sm,T_wM,T_wm ,P_ann,P_sM,P_sm,P_wM,P_wm ,dem,target
12.859,25.582,15.379,17.484,-5.4662,47.327,11.504,2.6564,2.7808,0.43104,142,Dwa
12.917,26.728,15.287,18.531,-6.8462,47.33,11.519,2.6461,2.7755,0.43105,101,Dwa
13.197,25.889,15.736,17.889,-5.21,47.37,11.541,2.6467,2.7733,0.43146,85,Dwa
12.859,25.582,15.379,17.484,-5.4662,47.365,11.526,2.6565,2.7782,0.43146,127,Dwa
13.459,27.216,15.879,18.971,-6.3762,47.374,11.556,2.6369,2.7683,0.43147,64,Dwa
13.197,25.889,15.736,17.889,-5.21,47.407,11.563,2.6465,2.7704,0.43187,120,Dwa
13.448,26.8,15.896,18.962,-6.3338,47.418,11.593,2.6276,2.7611,0.43188,69,Dwa
13.041,25.34,15.614,18.001,-5.5538,47.412,11.578,2.637,2.7657,0.43188,88,Dwa
12.673,24.876,15.284,17.968,-5.9737,47.455,11.615,2.6274,2.7582,0.43229,128,Dwa
13.197,25.889,15.736,17.889,-5.21,47.448,11.6,2.6364,2.7625,0.43229,140,Dwa
13.365,26.52,15.825,19.011,-6.4337,47.462,11.63,2.6184,2.7539,0.4323,81,Dwa
10.315,26.084,14.321,14.219,-13.24,37.056,9.5646,1.6553,2.0437,0.38207,1089,Cwc
10.166,25.672,14.071,14.359,-13.175,36.987,9.5408,1.6508,2.0373,0.3821,1091,Cwc
10.166,25.672,14.071,14.359,-13.175,36.917,9.517,1.6463,2.0309,0.38214,1098,Cwc
10.265,25.405,14.415,14.787,-12.886,36.847,9.4931,1.6418,2.0245,0.38217,1110,Cwc
10.015,24.974,14.415,14.762,-13.09,36.777,9.4692,1.6373,2.0182,0.3822,1125,Cwc
10.022,25.761,14.375,14.128,-13.438,37.089,9.5726,1.6561,2.0441,0.38271,1121,Cwc
10.104,25.692,14.326,14.154,-13.465,37.019,9.5487,1.6517,2.0376,0.38276,1089,Cwc
10.104,25.692,14.326,14.154,-13.465,36.95,9.5249,1.6472,2.0312,0.3828,1084,Cwc
10.487,25.607,14.484,14.527,-12.8,36.88,9.5009,1.6427,2.0248,0.38284,1087,Cwc
10.481,25.192,14.682,15.214,-12.888,36.81,9.4771,1.6383,2.0184,0.38288,1115,Cwc
9.4953,25.145,14.054,14.349,-14.141,37.122,9.5806,1.657,2.0444,0.38336,1098,Cwc
9.686,25.384,14.092,14.158,-13.976,37.052,9.5567,1.6525,2.038,0.38341,1100,Cwc
9.985,25.448,14.166,14.318,-13.531,36.983,9.5328,1.6481,2.0315,0.38345,1090,Cwc
9.985,25.448,14.166,14.318,-13.531,36.913,9.5089,1.6437,2.025,0.3835,1095,Cwc
10.271,25.378,14.407,14.827,-13.454,36.843,9.4849,1.6392,2.0186,0.38355,1141,Cwc
9.686,25.384,14.092,14.158,-13.976,37.155,9.5885,1.6578,2.0448,0.384,1129,Cwc
9.985,25.448,14.166,14.318,-13.531,37.085,9.5646,1.6534,2.0383,0.38406,1105,Cwc
10.271,25.378,14.407,14.827,-13.454,37.015,9.5407,1.649,2.0318,0.38411,1108,Cwc
